[(1, 1), (27, 36), (26, 1), (36, 36), (10, 1), (11, 36)]
[(1, 2), (27, 35), (26, 2), (36, 35), (10, 2), (11, 35)]
[(1, 4), (27, 33), (26, 4), (36, 33), (10, 4), (11, 33)]
[(1, 8), (27, 29), (26, 8), (36, 29), (10, 8), (11, 29)]
[(1, 16), (27, 21), (26, 16), (36, 21), (10, 16), (11, 21)]
[(1, 32), (27, 5), (26, 32), (36, 5), (10, 32), (11, 5)]
[(1, 27), (27, 10), (26, 27), (36, 10), (10, 27), (11, 10)]
[(1, 17), (27, 20), (26, 17), (36, 20), (10, 17), (11, 20)]
[(1, 34), (27, 3), (26, 34), (36, 3), (10, 34), (11, 3)]
[(1, 31), (27, 6), (26, 31), (36, 6), (10, 31), (11, 6)]
[(1, 25), (27, 12), (26, 25), (36, 12), (10, 25), (11, 12)]
[(1, 13), (27, 24), (26, 13), (36, 24), (10, 13), (11, 24)]
[(1, 26), (27, 11), (26, 26), (36, 11), (10, 26), (11, 11)]
[(1, 15), (27, 22), (26, 15), (36, 22), (10, 15), (11, 22)]
[(1, 30), (27, 7), (26, 30), (36, 7), (10, 30), (11, 7)]
[(1, 23), (27, 14), (26, 23), (36, 14), (10, 23), (11, 14)]
[(1, 9), (27, 28), (26, 9), (36, 28), (10, 9), (11, 28)]
[(1, 18), (27, 19), (26, 18), (36, 19), (10, 18), (11, 19)]
[(1, 36), (27, 1), (26, 36), (36, 1), (10, 36), (11, 1)]
[(1, 35), (27, 2), (26, 35), (36, 2), (10, 35), (11, 2)]
[(1, 33), (27, 4), (26, 33), (36, 4), (10, 33), (11, 4)]
[(1, 29), (27, 8), (26, 29), (36, 8), (10, 29), (11, 8)]
[(1, 21), (27, 16), (26, 21), (36, 16), (10, 21), (11, 16)]
[(1, 5), (27, 32), (26, 5), (36, 32), (10, 5), (11, 32)]
[(1, 10), (27, 27), (26, 10), (36, 27), (10, 10), (11, 27)]
[(1, 20), (27, 17), (26, 20), (36, 17), (10, 20), (11, 17)]
[(1, 3), (27, 34), (26, 3), (36, 34), (10, 3), (11, 34)]
[(1, 6), (27, 31), (26, 6), (36, 31), (10, 6), (11, 31)]
[(1, 12), (27, 25), (26, 12), (36, 25), (10, 12), (11, 25)]
[(1, 24), (27, 13), (26, 24), (36, 13), (10, 24), (11, 13)]
[(1, 11), (27, 26), (26, 11), (36, 26), (10, 11), (11, 26)]
[(1, 22), (27, 15), (26, 22), (36, 15), (10, 22), (11, 15)]
[(1, 7), (27, 30), (26, 7), (36, 30), (10, 7), (11, 30)]
[(1, 14), (27, 23), (26, 14), (36, 23), (10, 14), (11, 23)]
[(1, 28), (27, 9), (26, 28), (36, 9), (10, 28), (11, 9)]
[(1, 19), (27, 18), (26, 19), (36, 18), (10, 19), (11, 18)]

[(2, 1), (17, 36), (15, 1), (35, 36), (20, 1), (22, 36)]
[(2, 2), (17, 35), (15, 2), (35, 35), (20, 2), (22, 35)]
[(2, 4), (17, 33), (15, 4), (35, 33), (20, 4), (22, 33)]
